D2_autonomia: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_imparare per errori: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_apprendimento attraverso il gioco: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_autocorrezione: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_rielaborazione dei saperi: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D2_imparare a imparare: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_imparare a imparare: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D2_spirito di iniziativa: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_spirito di iniziativa: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_precisione / rigore: EMPOWERMENT, soft skills/ trasversali/ metacognizione
D3_capacità di ascolto: RELAZIONALE-SOCIALE, soft skills/ trasversali/ metacognizione
D3_empatia: RELAZIONALE-SOCIALE, soft skills/ trasversali/ metacognizione
D3_punto di vista dell'altro: RELAZIONALE-SOCIALE, soft skills/ trasversali/ metacognizione
D3_capacità relazionali: RELAZIONALE-SOCIALE, soft skills/ trasversali/ metacognizione
D2_inclusione: RELAZIONALE-SOCIALE, soft skills/ trasversali/ metacognizione
D2_argomentare: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_ragionamento: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_scaffolding: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_imparare a ragionare: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_uso trasversale del PeCo: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_intelligenze multiple: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D2_pensiero astratto: RAGIONAMENTO, soft skills/ trasversali/ metacognizione
D1_pensiero creativo: CREATIVITÀ, soft skills/ trasversali/ metacognizione
D3_pensiero creativo: CREATIVITÀ, soft skills/ trasversali/ metacognizione
D2_creatività: CREATIVITÀ, soft skills/ trasversali/ metacognizione
D2_gioco: CREATIVITÀ, soft skills/ trasversali/ metacognizione
D2_modalità giocosa: CREATIVITÀ, soft skills/ trasversali/ metacognizione
D3_italiano: ITALIANO, interdisciplinarità
D3_comprensione del testo: ITALIANO, interdisciplinarità
D3_costruzione di un testo: ITALIANO, interdisciplinarità
D3_alfabetico-funzionale: ITALIANO, interdisciplinarità
D3_scrittura: ITALIANO, interdisciplinarità
D3_ascolto e parlato: ITALIANO, interdisciplinarità
D3_competenze linguistiche: ITALIANO, interdisciplinarità
D3_storia: STORIA, interdisciplinarità
D3_geografia: GEOGRAFIA, interdisciplinarità
D1_costruzione di mappe: GEOGRAFIA, interdisciplinarità
D1_mappe: GEOGRAFIA, interdisciplinarità
D3_educazione civica: EDUCAZIONE CIVICA, interdisciplinarità
D3_lingua straniera: LINGUA STRANIERA, interdisciplinarità
D3_spazio e figure: MATEMATICA, interdisciplinarità
D3_geometria: MATEMATICA, interdisciplinarità
D3_matematica: MATEMATICA, interdisciplinarità
D3_operazioni retta dei numeri: MATEMATICA, interdisciplinarità
D3_rappresentazione dei dati: MATEMATICA, interdisciplinarità
D3_contorno di figura piana: MATEMATICA, interdisciplinarità
D3_sequenzialità: MATEMATICA, interdisciplinarità
D3_lato: MATEMATICA, interdisciplinarità
D3_modelli geometrici: MATEMATICA, interdisciplinarità
D1_conteggio: MATEMATICA, interdisciplinarità
D2_calcolare: MATEMATICA, interdisciplinarità
D2_coding per matematica: MATEMATICA, interdisciplinarità
D2_concetti matematici: MATEMATICA, interdisciplinarità
D3_riferimenti spaziali/ indicatori topologici: SPAZIALITÀ, interdisciplinarità
D1_orientamento spaziale: SPAZIALITÀ, interdisciplinarità
D2_orientamento spaziale: SPAZIALITÀ, interdisciplinarità
D3_orientamento spaziale: SPAZIALITÀ, interdisciplinarità
D1_indicazioni topologiche: SPAZIALITÀ, interdisciplinarità
D3_ecologia: SCIENZE, interdisciplinarità
D3_ambiente: SCIENZE, interdisciplinarità
D3_scienze: SCIENZE, interdisciplinarità
D3_tecnologia: TECNOLOGIA, interdisciplinarità
D3_esplorare e descrivere oggetti e materiali: TECNOLOGIA, interdisciplinarità
D3_movimenti del corpo al ritmo della musica: EDUCAZIONE FISICA, interdisciplinarità
D2_interdisciplinarità: INTERDISCIPLINARITÀ, interdisciplinarità
D3_altre discipline: INTERDISCIPLINARITÀ, interdisciplinarità
D3_copia-incolla risposta 2: COPIA RISPOSTA 2, risposta generica D3
D3_generico: GENERICO-D3, risposta generica D3
D3_vuoto: VUOTO-D3, risposta generica D3
