Macro-etichetta: materiali/strumenti fisici -- pc/tablet
  ID: 652, Value: 6
  ID: 736, Value: 6
  ID: 784, Value: 6
  ID: 581, Value: 5
  ID: 626, Value: 6
Macro-etichetta: obiettivi pertinenti -- logica
  ID: 652, Value: 6
  ID: 654, Value: 6
  ID: 682, Value: 6
  ID: 759, Value: 6
  ID: 766, Value: 6
  ID: 767, Value: 6
  ID: 580, Value: 6
  ID: 581, Value: 6
  ID: 605, Value: 6
  ID: 612, Value: 4
  ID: 629, Value: 5
  ID: 553, Value: 5
  ID: 626, Value: 1
Macro-etichetta: soft skills/ trasversali/ metacognizione -- ragionamento
  ID: 652, Value: 6
  ID: 659, Value: 6
  ID: 730, Value: 6
  ID: 582, Value: 6
  ID: 612, Value: 5
  ID: 550, Value: 2
  ID: 553, Value: 2
  ID: 556, Value: 1
  ID: 570, Value: 1
Macro-etichetta: materiali/strumenti fisici -- corpo
  ID: 654, Value: 6
  ID: 682, Value: 6
  ID: 730, Value: 6
  ID: 779, Value: 6
  ID: 553, Value: 1
  ID: 626, Value: 3
  ID: 612, Value: 1
Macro-etichetta: materiali/strumenti fisici -- robot
  ID: 654, Value: 6
  ID: 662, Value: 6
  ID: 682, Value: 6
  ID: 688, Value: 6
  ID: 744, Value: 6
  ID: 749, Value: 6
  ID: 766, Value: 6
  ID: 773, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 6
  ID: 556, Value: 6
  ID: 580, Value: 6
  ID: 589, Value: 4
Macro-etichetta: attività -- movimento e percorsi
  ID: 654, Value: 6
  ID: 698, Value: 6
  ID: 722, Value: 6
  ID: 749, Value: 6
  ID: 766, Value: 6
  ID: 779, Value: 6
  ID: 553, Value: 3
  ID: 550, Value: 1
  ID: 581, Value: 2
  ID: 589, Value: 4
  ID: 612, Value: 1
  ID: 626, Value: 5
  ID: 613, Value: 1
Macro-etichetta: piattaforma/ ambiente -- robot
  ID: 654, Value: 6
  ID: 662, Value: 6
  ID: 682, Value: 6
  ID: 688, Value: 6
  ID: 723, Value: 6
  ID: 749, Value: 6
  ID: 766, Value: 6
  ID: 773, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 5
  ID: 580, Value: 6
Macro-etichetta: obiettivi disciplinari -- metodi
  ID: 654, Value: 6
  ID: 659, Value: 6
  ID: 556, Value: 6
  ID: 589, Value: 6
  ID: 612, Value: 1
Macro-etichetta: obiettivi disciplinari -- programmazione (generica)
  ID: 654, Value: 6
  ID: 668, Value: 6
  ID: 688, Value: 6
  ID: 740, Value: 6
  ID: 745, Value: 6
  ID: 759, Value: 6
  ID: 773, Value: 6
  ID: 791, Value: 6
  ID: 580, Value: 5
  ID: 581, Value: 6
  ID: 548, Value: 1
  ID: 607, Value: 1
  ID: 612, Value: 1
Macro-etichetta: obiettivi disciplinari -- rappresentazione dell'informazione
  ID: 654, Value: 6
  ID: 659, Value: 6
  ID: 749, Value: 6
Macro-etichetta: interdisciplinarità -- spazialità
  ID: 654, Value: 6
  ID: 698, Value: 6
  ID: 766, Value: 6
  ID: 774, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 5
  ID: 572, Value: 6
  ID: 589, Value: 6
  ID: 626, Value: 6
  ID: 629, Value: 6
Macro-etichetta: interdisciplinarità -- lingua straniera
  ID: 658, Value: 6
  ID: 570, Value: 1
Macro-etichetta: piattaforma/ ambiente -- software di creazione/ricerca contenuti
  ID: 662, Value: 6
  ID: 681, Value: 6
  ID: 690, Value: 6
  ID: 607, Value: 1
Macro-etichetta: obiettivi pertinenti -- creatività digitale
  ID: 662, Value: 6
  ID: 759, Value: 6
  ID: 607, Value: 6
  ID: 570, Value: 2
Macro-etichetta: interdisciplinarità -- educazione civica
  ID: 662, Value: 6
Macro-etichetta: soft skills/ trasversali/ metacognizione -- collaborazione
  ID: 662, Value: 6
  ID: 681, Value: 6
  ID: 682, Value: 6
  ID: 698, Value: 6
  ID: 723, Value: 6
  ID: 744, Value: 6
  ID: 759, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 5
  ID: 556, Value: 6
  ID: 581, Value: 6
  ID: 605, Value: 6
  ID: 612, Value: 6
  ID: 582, Value: 2
  ID: 607, Value: 3
Macro-etichetta: soft skills/ trasversali/ metacognizione -- creatività
  ID: 662, Value: 6
  ID: 680, Value: 6
  ID: 682, Value: 6
  ID: 730, Value: 6
  ID: 759, Value: 6
  ID: 584, Value: 6
  ID: 570, Value: 1
Macro-etichetta: materiali/strumenti fisici -- materiali che guidano/strutturano attività
  ID: 668, Value: 6
  ID: 690, Value: 6
  ID: 736, Value: 6
  ID: 740, Value: 6
  ID: 744, Value: 6
  ID: 745, Value: 6
  ID: 756, Value: 6
  ID: 784, Value: 6
  ID: 550, Value: 4
  ID: 553, Value: 4
  ID: 603, Value: 5
  ID: 584, Value: 3
  ID: 572, Value: 2
  ID: 548, Value: 2
  ID: 570, Value: 1
  ID: 613, Value: 1
  ID: 580, Value: 1
  ID: 626, Value: 1
Macro-etichetta: soft skills/ trasversali/ metacognizione -- empowerment
  ID: 680, Value: 6
  ID: 681, Value: 6
  ID: 717, Value: 6
  ID: 730, Value: 6
  ID: 740, Value: 6
  ID: 779, Value: 6
  ID: 582, Value: 6
  ID: 612, Value: 2
  ID: 791, Value: 1
  ID: 548, Value: 3
  ID: 553, Value: 3
  ID: 589, Value: 1
  ID: 629, Value: 1
  ID: 570, Value: 1
Macro-etichetta: attività -- strumentali per altre discipline
  ID: 681, Value: 6
  ID: 688, Value: 6
  ID: 690, Value: 6
  ID: 730, Value: 6
  ID: 766, Value: 6
  ID: 773, Value: 6
  ID: 570, Value: 6
  ID: 589, Value: 6
  ID: 607, Value: 4
  ID: 612, Value: 1
  ID: 613, Value: 1
  ID: 626, Value: 1
  ID: 550, Value: 1
Macro-etichetta: metodologia -- sì
  ID: 681, Value: 6
  ID: 682, Value: 6
  ID: 688, Value: 6
  ID: 690, Value: 6
  ID: 744, Value: 6
  ID: 759, Value: 6
  ID: 773, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 3
  ID: 589, Value: 5
  ID: 607, Value: 5
  ID: 626, Value: 5
  ID: 550, Value: 1
  ID: 612, Value: 3
  ID: 582, Value: 1
Macro-etichetta: materiali/strumenti fisici -- materiali di ambiente/movimento in cui si opera per le attività
  ID: 682, Value: 6
  ID: 688, Value: 6
  ID: 773, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 553, Value: 3
  ID: 581, Value: 6
  ID: 626, Value: 6
  ID: 589, Value: 4
Macro-etichetta: attività -- pixel art
  ID: 682, Value: 6
  ID: 722, Value: 6
  ID: 736, Value: 6
  ID: 584, Value: 6
Macro-etichetta: piattaforma/ ambiente -- ambiente pixel art
  ID: 682, Value: 6
Macro-etichetta: attività -- altro
  ID: 688, Value: 6
  ID: 747, Value: 6
  ID: 548, Value: 1
  ID: 556, Value: 1
  ID: 584, Value: 1
  ID: 626, Value: 1
Macro-etichetta: attività -- processi di informatica
  ID: 688, Value: 6
  ID: 723, Value: 6
  ID: 744, Value: 6
  ID: 626, Value: 4
  ID: 581, Value: 2
Macro-etichetta: attività -- uso tecnologia e sviluppo contenuti
  ID: 690, Value: 6
  ID: 730, Value: 6
  ID: 774, Value: 6
  ID: 788, Value: 6
  ID: 550, Value: 2
  ID: 582, Value: 6
  ID: 607, Value: 4
  ID: 570, Value: 1
  ID: 617, Value: 2
Macro-etichetta: piattaforma/ ambiente -- google workspace
  ID: 690, Value: 6
  ID: 550, Value: 2
  ID: 617, Value: 3
Macro-etichetta: interdisciplinarità -- interdisciplinarità
  ID: 690, Value: 6
  ID: 736, Value: 6
  ID: 548, Value: 1
Macro-etichetta: attività -- contenuti algoritmici
  ID: 706, Value: 6
  ID: 745, Value: 6
  ID: 603, Value: 5
  ID: 612, Value: 5
Macro-etichetta: attività -- costrutti di base
  ID: 706, Value: 6
  ID: 723, Value: 6
  ID: 745, Value: 6
  ID: 766, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 612, Value: 5
Macro-etichetta: attività -- videogiochi
  ID: 717, Value: 6
  ID: 767, Value: 6
  ID: 774, Value: 6
  ID: 612, Value: 2
  ID: 582, Value: 1
Macro-etichetta: interdisciplinarità -- italiano
  ID: 717, Value: 6
  ID: 723, Value: 6
  ID: 553, Value: 5
  ID: 581, Value: 5
  ID: 589, Value: 1
  ID: 612, Value: 1
Macro-etichetta: interdisciplinarità -- scienze
  ID: 717, Value: 6
  ID: 723, Value: 6
  ID: 548, Value: 6
Macro-etichetta: interdisciplinarità -- tecnologia
  ID: 717, Value: 6
  ID: 723, Value: 6
  ID: 582, Value: 1
Macro-etichetta: soft skills/ trasversali/ metacognizione -- relazionale-sociale
  ID: 717, Value: 6
  ID: 767, Value: 6
  ID: 779, Value: 6
  ID: 553, Value: 5
  ID: 612, Value: 6
  ID: 626, Value: 4
Macro-etichetta: risposta generica d3 -- generico-d3
  ID: 722, Value: 6
  ID: 738, Value: 6
  ID: 747, Value: 6
  ID: 788, Value: 6
  ID: 580, Value: 3
  ID: 584, Value: 4
  ID: 570, Value: 3
  ID: 548, Value: 1
  ID: 572, Value: 1
  ID: 582, Value: 1
  ID: 589, Value: 1
  ID: 629, Value: 1
Macro-etichetta: attività -- verifica e correzione
  ID: 723, Value: 6
  ID: 745, Value: 6
  ID: 759, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 791, Value: 6
  ID: 589, Value: 5
  ID: 626, Value: 2
  ID: 607, Value: 1
Macro-etichetta: obiettivi pertinenti -- progettazione e sviluppo oggetti
  ID: 723, Value: 6
Macro-etichetta: interdisciplinarità -- educazione fisica
  ID: 728, Value: 6
Macro-etichetta: piattaforma/ ambiente -- geometria dinamica
  ID: 730, Value: 6
Macro-etichetta: materiali/strumenti fisici -- carte/blocchi
  ID: 744, Value: 6
  ID: 766, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 556, Value: 2
  ID: 581, Value: 6
  ID: 589, Value: 4
  ID: 613, Value: 4
  ID: 626, Value: 6
Macro-etichetta: attività -- storytelling
  ID: 759, Value: 6
  ID: 607, Value: 5
Macro-etichetta: obiettivi disciplinari -- verifica/ correzione
  ID: 759, Value: 6
  ID: 773, Value: 6
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 612, Value: 6
  ID: 581, Value: 1
Macro-etichetta: interdisciplinarità -- storia
  ID: 766, Value: 6
Macro-etichetta: risposta generica d3 -- copia risposta 2
  ID: 774, Value: 6
  ID: 570, Value: 3
  ID: 626, Value: 1
Macro-etichetta: piattaforma/ ambiente -- carte/blocchi programmazione
  ID: 779, Value: 6
  ID: 784, Value: 6
  ID: 580, Value: 1
Macro-etichetta: obiettivi disciplinari -- intelligenza artificiale
  ID: 548, Value: 4
